bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,fname,class_name,width,height,aspect_ratio
220,193,537,364,38,00044.jpg,BMW Z4 Convertible 2012,659.0,439.0,1.501138952164009
12,108,489,297,186,00045.jpg,Toyota Sequoia SUV 2012,500.0,375.0,1.3333333333333333
28,80,759,466,25,00046.jpg,Audi TT RS Coupe 2012,786.0,492.0,1.5975609756097562
84,248,1102,899,194,00047.jpg,Volvo 240 Sedan 1993,1600.0,1200.0,1.3333333333333333
142,69,753,451,177,00048.jpg,Rolls-Royce Phantom Sedan 2012,813.0,541.0,1.5027726432532347
166,543,887,903,173,00049.jpg,Porsche Panamera Sedan 2012,1600.0,1067.0,1.499531396438613
20,96,564,341,42,00050.jpg,Bentley Continental GT Coupe 2012,580.0,407.0,1.425061425061425
41,181,607,465,91,00051.jpg,Dodge Dakota Club Cab 2007,640.0,480.0,1.3333333333333333
39,29,774,395,148,00052.jpg,Jeep Grand Cherokee SUV 2012,808.0,424.0,1.9056603773584906
161,191,425,307,15,00053.jpg,Audi R8 Coupe 2012,500.0,375.0,1.3333333333333333
58,562,1528,1081,97,00054.jpg,Dodge Charger SRT-8 2009,1600.0,1200.0,1.3333333333333333
80,120,582,391,42,00055.jpg,Bentley Continental GT Coupe 2012,620.0,433.0,1.4318706697459584
32,48,472,267,53,00056.jpg,Cadillac Escalade EXT Crew Cab 2007,500.0,315.0,1.5873015873015872
260,138,972,439,44,00057.jpg,Bentley Continental Flying Spur Sedan 2007,1200.0,498.0,2.4096385542168677
11,35,256,173,65,00058.jpg,Chevrolet Avalanche Crew Cab 2012,260.0,194.0,1.3402061855670102
68,91,607,354,90,00059.jpg,Dodge Dakota Crew Cab 2010,640.0,480.0,1.3333333333333333
129,120,345,269,124,00060.jpg,HUMMER H3T Crew Cab 2010,400.0,300.0,1.3333333333333333
11,104,1011,742,114,00061.jpg,Ford F-150 Regular Cab 2007,1023.0,764.0,1.3390052356020943
19,21,425,265,190,00062.jpg,Volkswagen Golf Hatchback 2012,450.0,280.0,1.6071428571428572
175,330,928,647,101,00063.jpg,Ferrari FF Coupe 2012,1032.0,774.0,1.3333333333333333
97,39,925,700,187,00064.jpg,Toyota Camry Sedan 2012,1024.0,768.0,1.3333333333333333
63,175,417,320,8,00065.jpg,Aston Martin V8 Vantage Convertible 2012,500.0,361.0,1.3850415512465375
30,39,221,125,17,00066.jpg,Audi 100 Sedan 1994,259.0,194.0,1.3350515463917525
129,89,594,432,111,00067.jpg,Ford Ranger SuperCab 2011,640.0,480.0,1.3333333333333333
32,43,598,350,122,00068.jpg,GMC Canyon Extended Cab 2012,640.0,438.0,1.461187214611872
142,124,675,445,5,00069.jpg,Acura TSX Sedan 2012,800.0,533.0,1.5009380863039399
220,313,1054,976,29,00070.jpg,BMW 3 Series Sedan 2012,1600.0,1200.0,1.3333333333333333
8,12,639,299,126,00071.jpg,Honda Odyssey Minivan 2012,643.0,305.0,2.1081967213114754
92,271,1178,749,94,00072.jpg,Dodge Durango SUV 2012,1280.0,850.0,1.5058823529411764
15,12,314,230,106,00073.jpg,Ford F-450 Super Duty Crew Cab 2012,320.0,240.0,1.3333333333333333
14,12,309,223,106,00074.jpg,Ford F-450 Super Duty Crew Cab 2012,320.0,240.0,1.3333333333333333
45,74,522,253,188,00075.jpg,Toyota Corolla Sedan 2012,550.0,286.0,1.9230769230769231
12,27,284,166,59,00076.jpg,Chevrolet Camaro Convertible 2012,300.0,187.0,1.6042780748663101
25,25,3502,2017,110,00077.jpg,Ford Edge SUV 2012,3552.0,2153.0,1.6497909893172318
36,88,611,417,43,00078.jpg,Bentley Continental GT Coupe 2007,640.0,480.0,1.3333333333333333
165,126,749,425,133,00079.jpg,Hyundai Veracruz SUV 2012,750.0,469.0,1.5991471215351811
20,21,292,217,111,00080.jpg,Ford Ranger SuperCab 2011,300.0,224.0,1.3392857142857142
10,55,540,271,8,00081.jpg,Aston Martin V8 Vantage Convertible 2012,550.0,301.0,1.8272425249169435
63,113,597,413,192,00082.jpg,Volkswagen Beetle Hatchback 2012,640.0,480.0,1.3333333333333333
55,48,294,205,18,00083.jpg,Audi 100 Wagon 1994,300.0,225.0,1.3333333333333333
27,67,620,474,116,00084.jpg,Ford E-Series Wagon Van 2012,640.0,480.0,1.3333333333333333
15,80,629,402,49,00085.jpg,Buick Verano Sedan 2012,640.0,480.0,1.3333333333333333
119,300,1416,871,145,00086.jpg,Jeep Patriot SUV 2012,1500.0,920.0,1.6304347826086956
17,36,455,215,49,00087.jpg,Buick Verano Sedan 2012,467.0,234.0,1.9957264957264957
171,176,2373,1751,170,00088.jpg,Nissan Juke Hatchback 2012,2592.0,1944.0,1.3333333333333333
49,195,1003,617,20,00089.jpg,Audi S6 Sedan 2011,1024.0,768.0,1.3333333333333333
5,43,296,211,114,00090.jpg,Ford F-150 Regular Cab 2007,300.0,225.0,1.3333333333333333
49,57,494,419,165,00091.jpg,Mercedes-Benz S-Class Sedan 2012,640.0,480.0,1.3333333333333333
101,84,492,272,138,00092.jpg,Hyundai Sonata Sedan 2012,600.0,338.0,1.7751479289940828
23,53,258,144,175,00093.jpg,Rolls-Royce Phantom Drophead Coupe Convertible 2012,275.0,183.0,1.5027322404371584
19,60,783,440,112,00094.jpg,Ford GT Coupe 2006,786.0,491.0,1.6008146639511203
110,171,1213,648,122,00095.jpg,GMC Canyon Extended Cab 2012,1280.0,782.0,1.6368286445012787
39,67,346,206,104,00096.jpg,Ferrari 458 Italia Coupe 2012,400.0,265.0,1.509433962264151
3,7,76,50,57,00097.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,78.0,58.0,1.3448275862068966
65,37,578,360,51,00098.jpg,Cadillac CTS-V Sedan 2012,640.0,426.0,1.5023474178403755
27,60,486,364,37,00099.jpg,BMW X3 SUV 2012,510.0,383.0,1.3315926892950392
22,180,454,355,71,00100.jpg,Chevrolet Express Van 2007,480.0,360.0,1.3333333333333333
70,39,940,742,193,00101.jpg,Volvo C30 Hatchback 2012,1024.0,768.0,1.3333333333333333
99,130,396,222,105,00102.jpg,Fisker Karma Sedan 2012,480.0,360.0,1.3333333333333333
85,107,609,381,61,00103.jpg,Chevrolet Impala Sedan 2007,640.0,480.0,1.3333333333333333
1,76,480,315,74,00104.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480.0,360.0,1.3333333333333333
57,266,967,623,133,00105.jpg,Hyundai Veracruz SUV 2012,1024.0,768.0,1.3333333333333333
69,75,236,161,162,00106.jpg,Mercedes-Benz C-Class Sedan 2012,300.0,225.0,1.3333333333333333
24,17,249,163,131,00107.jpg,Hyundai Santa Fe SUV 2012,276.0,182.0,1.5164835164835164
7,27,212,147,88,00108.jpg,Dodge Sprinter Cargo Van 2009,212.0,159.0,1.3333333333333333
18,14,248,168,121,00109.jpg,GMC Acadia SUV 2012,259.0,194.0,1.3350515463917525
19,2,591,387,180,00110.jpg,Spyker C8 Coupe 2009,600.0,398.0,1.5075376884422111
52,6,759,513,180,00111.jpg,Spyker C8 Coupe 2009,800.0,532.0,1.5037593984962405
231,103,430,226,137,00112.jpg,Hyundai Genesis Sedan 2012,500.0,274.0,1.8248175182481752
91,148,700,582,133,00113.jpg,Hyundai Veracruz SUV 2012,1024.0,682.0,1.501466275659824
19,72,624,397,71,00114.jpg,Chevrolet Express Van 2007,640.0,426.0,1.5023474178403755
26,90,376,243,83,00115.jpg,Dodge Caliber Wagon 2012,400.0,267.0,1.4981273408239701
132,120,667,401,110,00116.jpg,Ford Edge SUV 2012,786.0,492.0,1.5975609756097562
84,44,663,342,42,00117.jpg,Bentley Continental GT Coupe 2012,753.0,383.0,1.9660574412532636
87,235,591,412,177,00118.jpg,Rolls-Royce Phantom Sedan 2012,630.0,420.0,1.5
173,370,1207,960,147,00119.jpg,Jeep Liberty SUV 2012,1368.0,1026.0,1.3333333333333333
3,19,195,114,161,00120.jpg,Mercedes-Benz 300-Class Convertible 1993,200.0,150.0,1.3333333333333333
49,143,487,455,109,00121.jpg,Ford Expedition EL SUV 2009,640.0,480.0,1.3333333333333333
72,67,233,176,28,00122.jpg,BMW 1 Series Coupe 2012,300.0,200.0,1.5
151,568,1954,1271,144,00123.jpg,Jaguar XK XKR 2012,2100.0,1575.0,1.3333333333333333
14,88,271,178,53,00124.jpg,Cadillac Escalade EXT Crew Cab 2007,285.0,214.0,1.3317757009345794
135,761,1894,1353,29,00125.jpg,BMW 3 Series Sedan 2012,2048.0,1536.0,1.3333333333333333
44,123,778,487,66,00126.jpg,Chevrolet Cobalt SS 2010,800.0,533.0,1.5009380863039399
69,103,537,322,79,00127.jpg,Chrysler 300 SRT-8 2010,620.0,387.0,1.6020671834625324
86,78,355,284,13,00128.jpg,Audi A5 Coupe 2012,438.0,329.0,1.331306990881459
50,80,592,273,136,00129.jpg,Hyundai Accent Sedan 2012,607.0,348.0,1.7442528735632183
95,161,543,368,143,00130.jpg,Isuzu Ascender SUV 2008,640.0,480.0,1.3333333333333333
275,195,863,474,171,00131.jpg,Nissan 240SX Coupe 1998,960.0,720.0,1.3333333333333333
99,78,557,389,89,00132.jpg,Dodge Journey SUV 2012,640.0,480.0,1.3333333333333333
11,126,426,360,135,00133.jpg,Hyundai Elantra Sedan 2007,480.0,360.0,1.3333333333333333
1,2,267,185,161,00134.jpg,Mercedes-Benz 300-Class Convertible 1993,270.0,187.0,1.4438502673796791
19,735,2669,2192,58,00135.jpg,Chevrolet Traverse SUV 2012,3264.0,2448.0,1.3333333333333333
21,35,279,195,122,00136.jpg,GMC Canyon Extended Cab 2012,300.0,225.0,1.3333333333333333
45,99,593,403,178,00137.jpg,Scion xD Hatchback 2012,640.0,480.0,1.3333333333333333
130,282,1425,900,56,00138.jpg,Chevrolet Corvette ZR1 2012,1600.0,1051.0,1.522359657469077
72,215,628,481,184,00139.jpg,Suzuki SX4 Sedan 2012,800.0,535.0,1.4953271028037383
62,95,633,434,191,00140.jpg,Volkswagen Golf Hatchback 1991,640.0,480.0,1.3333333333333333
13,106,476,260,40,00141.jpg,Bentley Arnage Sedan 2009,480.0,360.0,1.3333333333333333
78,300,952,633,60,00142.jpg,Chevrolet HHR SS 2010,1024.0,683.0,1.499267935578331
72,51,566,412,155,00143.jpg,Land Rover LR2 SUV 2012,665.0,429.0,1.5501165501165501
66,59,283,202,71,00144.jpg,Chevrolet Express Van 2007,355.0,266.0,1.3345864661654134
135,36,1181,885,140,00145.jpg,Hyundai Azera Sedan 2012,1500.0,938.0,1.5991471215351811
2,5,298,162,42,00146.jpg,Bentley Continental GT Coupe 2012,300.0,166.0,1.8072289156626506
8,12,770,309,76,00147.jpg,Chrysler Aspen SUV 2009,787.0,346.0,2.2745664739884393
24,78,608,379,187,00148.jpg,Toyota Camry Sedan 2012,640.0,480.0,1.3333333333333333
34,1,242,179,86,00149.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,282.0,179.0,1.5754189944134078
11,208,596,386,8,00150.jpg,Aston Martin V8 Vantage Convertible 2012,608.0,456.0,1.3333333333333333
8,37,294,150,5,00151.jpg,Acura TSX Sedan 2012,300.0,182.0,1.6483516483516483
23,66,499,311,47,00152.jpg,Buick Regal GS 2012,630.0,335.0,1.8805970149253732
6,138,627,361,30,00153.jpg,BMW 3 Series Wagon 2012,640.0,480.0,1.3333333333333333
17,105,385,243,18,00154.jpg,Audi 100 Wagon 1994,400.0,260.0,1.5384615384615385
76,4,1585,1120,149,00155.jpg,Jeep Compass SUV 2012,1600.0,1200.0,1.3333333333333333
22,21,211,139,174,00156.jpg,Ram C/V Cargo Van Minivan 2012,250.0,166.0,1.5060240963855422
32,130,973,661,138,00157.jpg,Hyundai Sonata Sedan 2012,1024.0,768.0,1.3333333333333333
75,236,1196,846,179,00158.jpg,Spyker C8 Convertible 2009,1280.0,960.0,1.3333333333333333
37,139,988,694,24,00159.jpg,Audi S4 Sedan 2007,1024.0,768.0,1.3333333333333333
114,46,546,287,42,00160.jpg,Bentley Continental GT Coupe 2012,625.0,350.0,1.7857142857142858
12,83,629,354,73,00161.jpg,Chevrolet Malibu Sedan 2007,640.0,480.0,1.3333333333333333
38,66,548,385,176,00162.jpg,Rolls-Royce Ghost Sedan 2012,600.0,450.0,1.3333333333333333
46,84,661,428,1,00163.jpg,AM General Hummer SUV 2000,700.0,525.0,1.3333333333333333
13,29,239,174,37,00164.jpg,BMW X3 SUV 2012,259.0,194.0,1.3350515463917525
27,65,490,220,36,00165.jpg,BMW M6 Convertible 2010,500.0,221.0,2.262443438914027
4,69,402,245,108,00166.jpg,Ford Freestar Minivan 2007,424.0,360.0,1.1777777777777778
19,27,429,258,41,00167.jpg,Bentley Mulsanne Sedan 2011,440.0,275.0,1.6
110,96,565,389,40,00168.jpg,Bentley Arnage Sedan 2009,640.0,480.0,1.3333333333333333
2,22,140,81,119,00169.jpg,GMC Savana Van 2012,140.0,104.0,1.3461538461538463
48,71,615,453,119,00170.jpg,GMC Savana Van 2012,640.0,480.0,1.3333333333333333
41,42,262,170,19,00171.jpg,Audi TT Hatchback 2011,300.0,183.0,1.639344262295082
6,108,493,267,163,00172.jpg,Mercedes-Benz SL-Class Coupe 2009,500.0,305.0,1.639344262295082
26,61,508,342,120,00173.jpg,GMC Yukon Hybrid SUV 2012,530.0,398.0,1.3316582914572865
13,29,249,159,54,00174.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,259.0,194.0,1.3350515463917525
69,120,739,502,116,00175.jpg,Ford E-Series Wagon Van 2012,800.0,533.0,1.5009380863039399
45,85,1005,558,66,00176.jpg,Chevrolet Cobalt SS 2010,1024.0,768.0,1.3333333333333333
98,22,650,302,50,00177.jpg,Buick Enclave SUV 2012,700.0,326.0,2.147239263803681
5,28,285,148,122,00178.jpg,GMC Canyon Extended Cab 2012,300.0,168.0,1.7857142857142858
42,113,601,439,155,00179.jpg,Land Rover LR2 SUV 2012,640.0,480.0,1.3333333333333333
3,40,297,157,142,00180.jpg,Infiniti QX56 SUV 2011,300.0,189.0,1.5873015873015872
84,256,913,752,68,00181.jpg,Chevrolet TrailBlazer SS 2009,1024.0,768.0,1.3333333333333333
43,226,1001,630,170,00182.jpg,Nissan Juke Hatchback 2012,1024.0,733.0,1.3969986357435198
2,9,196,125,161,00183.jpg,Mercedes-Benz 300-Class Convertible 1993,200.0,150.0,1.3333333333333333
34,51,604,344,161,00184.jpg,Mercedes-Benz 300-Class Convertible 1993,640.0,426.0,1.5023474178403755
24,35,620,438,133,00185.jpg,Hyundai Veracruz SUV 2012,640.0,480.0,1.3333333333333333
6,72,255,178,125,00186.jpg,HUMMER H2 SUT Crew Cab 2009,266.0,199.0,1.3366834170854272
4,408,1600,934,160,00187.jpg,McLaren MP4-12C Coupe 2012,1600.0,1200.0,1.3333333333333333
25,162,1241,764,93,00188.jpg,Dodge Challenger SRT8 2011,1280.0,853.0,1.5005861664712778
18,15,583,421,183,00189.jpg,Suzuki SX4 Hatchback 2012,640.0,480.0,1.3333333333333333
198,416,1271,935,45,00190.jpg,Bugatti Veyron 16.4 Convertible 2009,1280.0,960.0,1.3333333333333333
129,75,654,422,143,00191.jpg,Isuzu Ascender SUV 2008,750.0,469.0,1.5991471215351811
37,24,259,212,189,00192.jpg,Toyota 4Runner SUV 2012,300.0,225.0,1.3333333333333333
82,107,990,723,48,00193.jpg,Buick Rainier SUV 2007,1024.0,768.0,1.3333333333333333
187,327,1211,769,176,00194.jpg,Rolls-Royce Ghost Sedan 2012,1280.0,782.0,1.6368286445012787
150,339,1313,771,77,00195.jpg,Chrysler Sebring Convertible 2010,1440.0,1080.0,1.3333333333333333
26,46,266,213,190,00196.jpg,Volkswagen Golf Hatchback 2012,300.0,225.0,1.3333333333333333
47,102,492,371,110,00197.jpg,Ford Edge SUV 2012,540.0,436.0,1.238532110091743
91,121,574,357,6,00198.jpg,Acura Integra Type R 2001,600.0,450.0,1.3333333333333333
151,298,1285,835,191,00199.jpg,Volkswagen Golf Hatchback 1991,1600.0,1200.0,1.3333333333333333
30,55,301,187,16,00200.jpg,Audi V8 Sedan 1994,340.0,255.0,1.3333333333333333
21,1,386,200,12,00201.jpg,Audi RS 4 Convertible 2008,400.0,200.0,2.0
233,217,1228,807,90,00202.jpg,Dodge Dakota Crew Cab 2010,1600.0,1067.0,1.499531396438613
30,167,945,545,188,00203.jpg,Toyota Corolla Sedan 2012,960.0,640.0,1.5
11,61,284,151,128,00204.jpg,Honda Accord Coupe 2012,300.0,169.0,1.7751479289940828
29,70,612,356,23,00205.jpg,Audi S4 Sedan 2012,640.0,426.0,1.5023474178403755
117,222,558,434,11,00206.jpg,Aston Martin Virage Coupe 2012,640.0,480.0,1.3333333333333333
31,119,438,258,93,00207.jpg,Dodge Challenger SRT8 2011,470.0,372.0,1.2634408602150538
26,151,360,256,8,00208.jpg,Aston Martin V8 Vantage Convertible 2012,376.0,282.0,1.3333333333333333
58,136,973,636,63,00209.jpg,Chevrolet Sonic Sedan 2012,1000.0,667.0,1.4992503748125936
8,80,639,366,173,00210.jpg,Porsche Panamera Sedan 2012,640.0,480.0,1.3333333333333333
11,47,598,365,176,00211.jpg,Rolls-Royce Ghost Sedan 2012,608.0,397.0,1.5314861460957179
8,20,254,155,72,00212.jpg,Chevrolet Monte Carlo Coupe 2007,259.0,194.0,1.3350515463917525
37,62,261,191,195,00213.jpg,Volvo XC90 SUV 2007,300.0,225.0,1.3333333333333333
70,78,915,640,114,00214.jpg,Ford F-150 Regular Cab 2007,1024.0,768.0,1.3333333333333333
38,50,221,138,72,00215.jpg,Chevrolet Monte Carlo Coupe 2007,259.0,194.0,1.3350515463917525
21,45,133,88,119,00216.jpg,GMC Savana Van 2012,144.0,108.0,1.3333333333333333
45,39,594,444,18,00217.jpg,Audi 100 Wagon 1994,640.0,480.0,1.3333333333333333
39,94,337,245,77,00218.jpg,Chrysler Sebring Convertible 2010,400.0,300.0,1.3333333333333333
89,1,597,316,18,00219.jpg,Audi 100 Wagon 1994,640.0,359.0,1.7827298050139275
16,103,462,347,107,00220.jpg,Ford Mustang Convertible 2007,480.0,360.0,1.3333333333333333
29,21,477,299,10,00221.jpg,Aston Martin Virage Convertible 2012,500.0,331.0,1.5105740181268883
89,58,545,338,196,00222.jpg,smart fortwo Convertible 2012,620.0,388.0,1.597938144329897
42,115,299,288,99,00223.jpg,FIAT 500 Abarth 2012,500.0,333.0,1.5015015015015014
19,10,177,134,88,00224.jpg,Dodge Sprinter Cargo Van 2009,200.0,150.0,1.3333333333333333
20,50,463,313,121,00225.jpg,GMC Acadia SUV 2012,465.0,342.0,1.3596491228070176
46,15,202,156,111,00226.jpg,Ford Ranger SuperCab 2011,259.0,194.0,1.3350515463917525
36,63,613,397,61,00227.jpg,Chevrolet Impala Sedan 2007,640.0,480.0,1.3333333333333333
237,156,896,365,141,00228.jpg,Infiniti G Coupe IPL 2012,964.0,536.0,1.7985074626865671
5,46,255,138,136,00229.jpg,Hyundai Accent Sedan 2012,259.0,194.0,1.3350515463917525
223,542,3692,2478,183,00230.jpg,Suzuki SX4 Hatchback 2012,3699.0,2775.0,1.332972972972973
73,109,606,374,106,00231.jpg,Ford F-450 Super Duty Crew Cab 2012,640.0,480.0,1.3333333333333333
15,110,544,381,84,00232.jpg,Dodge Caliber Wagon 2007,600.0,444.0,1.3513513513513513
276,124,1495,951,194,00233.jpg,Volvo 240 Sedan 1993,1600.0,1067.0,1.499531396438613
99,364,1211,954,132,00234.jpg,Hyundai Tucson SUV 2012,1504.0,1000.0,1.504
59,63,549,404,111,00235.jpg,Ford Ranger SuperCab 2011,640.0,480.0,1.3333333333333333
19,138,571,424,7,00236.jpg,Acura ZDX Hatchback 2012,600.0,450.0,1.3333333333333333
11,10,396,265,65,00237.jpg,Chevrolet Avalanche Crew Cab 2012,400.0,300.0,1.3333333333333333
163,91,527,346,26,00238.jpg,BMW ActiveHybrid 5 Sedan 2012,600.0,399.0,1.5037593984962405
4,19,255,172,16,00239.jpg,Audi V8 Sedan 1994,259.0,194.0,1.3350515463917525
45,60,251,171,138,00240.jpg,Hyundai Sonata Sedan 2012,300.0,225.0,1.3333333333333333
32,59,1011,709,170,00241.jpg,Nissan Juke Hatchback 2012,1024.0,768.0,1.3333333333333333
10,53,273,167,102,00242.jpg,Ferrari California Convertible 2012,280.0,210.0,1.3333333333333333
270,228,727,416,168,00243.jpg,Nissan Leaf Hatchback 2012,750.0,469.0,1.5991471215351811
21,93,479,331,7,00244.jpg,Acura ZDX Hatchback 2012,480.0,360.0,1.3333333333333333
22,59,536,238,61,00245.jpg,Chevrolet Impala Sedan 2007,556.0,283.0,1.9646643109540636
1,317,1280,945,167,00246.jpg,Mitsubishi Lancer Sedan 2012,1280.0,1024.0,1.25
47,125,850,468,137,00247.jpg,Hyundai Genesis Sedan 2012,900.0,540.0,1.6666666666666667
52,167,508,387,177,00248.jpg,Rolls-Royce Phantom Sedan 2012,595.0,445.0,1.3370786516853932
6,155,631,450,153,00249.jpg,Lamborghini Diablo Coupe 2001,640.0,480.0,1.3333333333333333
11,35,246,186,190,00250.jpg,Volkswagen Golf Hatchback 2012,259.0,194.0,1.3350515463917525
576,466,2994,1953,167,00251.jpg,Mitsubishi Lancer Sedan 2012,3264.0,2448.0,1.3333333333333333
37,50,253,158,105,00252.jpg,Fisker Karma Sedan 2012,275.0,183.0,1.5027322404371584
51,105,579,335,50,00253.jpg,Buick Enclave SUV 2012,640.0,480.0,1.3333333333333333
21,11,296,141,131,00254.jpg,Hyundai Santa Fe SUV 2012,300.0,161.0,1.8633540372670807
29,78,734,396,6,00255.jpg,Acura Integra Type R 2001,791.0,422.0,1.8744075829383886
85,215,776,511,21,00256.jpg,Audi S5 Convertible 2012,986.0,603.0,1.635157545605307
23,146,617,329,31,00257.jpg,BMW 6 Series Convertible 2007,640.0,480.0,1.3333333333333333
34,86,227,166,51,00258.jpg,Cadillac CTS-V Sedan 2012,259.0,194.0,1.3350515463917525
75,254,2514,1929,187,00259.jpg,Toyota Camry Sedan 2012,2592.0,1944.0,1.3333333333333333
28,164,698,417,134,00260.jpg,Hyundai Sonata Hybrid Sedan 2012,720.0,518.0,1.38996138996139
32,79,378,221,16,00261.jpg,Audi V8 Sedan 1994,400.0,269.0,1.486988847583643
158,132,501,293,103,00262.jpg,Ferrari 458 Italia Convertible 2012,587.0,391.0,1.5012787723785166
177,299,730,673,40,00263.jpg,Bentley Arnage Sedan 2009,1111.0,740.0,1.5013513513513514
42,72,472,299,69,00264.jpg,Chevrolet Silverado 2500HD Regular Cab 2012,500.0,375.0,1.3333333333333333
15,74,387,195,55,00265.jpg,Chevrolet Corvette Convertible 2012,400.0,266.0,1.5037593984962405
22,300,786,552,17,00266.jpg,Audi 100 Sedan 1994,800.0,600.0,1.3333333333333333
25,133,620,374,46,00267.jpg,Bugatti Veyron 16.4 Coupe 2009,640.0,425.0,1.5058823529411764
49,53,596,398,74,00268.jpg,Chevrolet Silverado 1500 Extended Cab 2012,640.0,426.0,1.5023474178403755
29,192,605,391,185,00269.jpg,Tesla Model S Sedan 2012,640.0,480.0,1.3333333333333333
15,70,357,186,122,00270.jpg,GMC Canyon Extended Cab 2012,375.0,224.0,1.6741071428571428
11,23,141,80,174,00271.jpg,Ram C/V Cargo Van Minivan 2012,144.0,108.0,1.3333333333333333
